freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,4.55E-01,-1.66E-01
8.57E+04,4.55E-01,-1.41E-01
7.34E+04,4.55E-01,-1.20E-01
6.29E+04,4.55E-01,-1.01E-01
5.39E+04,4.56E-01,-8.59E-02
4.62E+04,4.56E-01,-7.19E-02
3.96E+04,4.57E-01,-6.02E-02
3.39E+04,4.57E-01,-4.98E-02
2.91E+04,4.58E-01,-4.11E-02
2.49E+04,4.59E-01,-3.35E-02
2.14E+04,4.60E-01,-2.68E-02
1.83E+04,4.60E-01,-2.09E-02
1.57E+04,4.61E-01,-1.62E-02
1.34E+04,4.62E-01,-1.19E-02
1.15E+04,4.63E-01,-7.50E-03
9.87E+03,4.64E-01,-3.95E-03
8.46E+03,4.66E-01,-7.87E-04
7.25E+03,4.67E-01,1.69E-03
6.22E+03,4.68E-01,4.29E-03
5.34E+03,4.70E-01,6.87E-03
4.57E+03,4.71E-01,8.90E-03
3.91E+03,4.72E-01,1.11E-02
3.35E+03,4.74E-01,1.31E-02
2.87E+03,4.76E-01,1.47E-02
2.46E+03,4.77E-01,1.67E-02
2.11E+03,4.79E-01,1.82E-02
1.81E+03,4.82E-01,1.98E-02
1.55E+03,4.84E-01,2.15E-02
1.33E+03,4.86E-01,2.32E-02
1.14E+03,4.88E-01,2.48E-02
9.75E+02,4.91E-01,2.64E-02
8.35E+02,4.93E-01,2.81E-02
7.16E+02,4.97E-01,2.96E-02
6.14E+02,4.99E-01,3.12E-02
5.26E+02,5.03E-01,3.34E-02
4.51E+02,5.06E-01,3.49E-02
3.86E+02,5.10E-01,3.68E-02
3.31E+02,5.13E-01,3.85E-02
2.84E+02,5.17E-01,4.03E-02
2.43E+02,5.22E-01,4.20E-02
2.08E+02,5.26E-01,4.39E-02
1.78E+02,5.31E-01,4.51E-02
1.53E+02,5.35E-01,4.67E-02
1.31E+02,5.40E-01,4.81E-02
1.12E+02,5.45E-01,4.94E-02
9.63E+01,5.51E-01,5.05E-02
8.25E+01,5.57E-01,5.14E-02
7.07E+01,5.63E-01,5.23E-02
6.06E+01,5.69E-01,5.29E-02
5.19E+01,5.75E-01,5.30E-02
4.45E+01,5.81E-01,5.29E-02
3.82E+01,5.86E-01,5.22E-02
3.27E+01,5.93E-01,5.20E-02
2.80E+01,5.99E-01,5.08E-02
2.40E+01,6.05E-01,5.02E-02
2.06E+01,6.10E-01,4.88E-02
1.76E+01,6.16E-01,4.69E-02
1.51E+01,6.20E-01,4.52E-02
1.29E+01,6.25E-01,4.30E-02
1.11E+01,6.30E-01,4.08E-02
9.50E+00,6.34E-01,3.84E-02
8.16E+00,6.38E-01,3.62E-02
6.99E+00,6.42E-01,3.37E-02
5.98E+00,6.45E-01,3.12E-02
5.13E+00,6.48E-01,2.88E-02
4.40E+00,6.50E-01,2.65E-02
3.76E+00,6.53E-01,2.44E-02
3.23E+00,6.54E-01,2.23E-02
2.76E+00,6.56E-01,2.01E-02
2.37E+00,6.58E-01,1.83E-02
2.03E+00,6.59E-01,1.66E-02
1.74E+00,6.60E-01,1.49E-02
1.49E+00,6.61E-01,1.32E-02
1.28E+00,6.62E-01,1.19E-02
1.09E+00,6.63E-01,1.07E-02
9.39E-01,6.63E-01,9.60E-03
8.05E-01,6.64E-01,8.43E-03
6.89E-01,6.64E-01,7.56E-03
5.91E-01,6.65E-01,6.77E-03
5.06E-01,6.65E-01,5.96E-03
4.34E-01,6.66E-01,5.23E-03
3.72E-01,6.66E-01,4.75E-03
3.18E-01,6.66E-01,4.15E-03
2.73E-01,6.66E-01,3.71E-03
2.34E-01,6.67E-01,3.33E-03
2.01E-01,6.67E-01,2.93E-03
1.72E-01,6.67E-01,2.54E-03
1.47E-01,6.67E-01,2.23E-03
1.26E-01,6.67E-01,1.99E-03
1.08E-01,6.67E-01,1.78E-03
9.28E-02,6.67E-01,1.57E-03
7.94E-02,6.67E-01,1.34E-03
6.81E-02,6.67E-01,1.16E-03
5.84E-02,6.67E-01,1.03E-03
5.00E-02,6.67E-01,9.04E-04
