freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,4.56E-01,-1.66E-01
8.57E+04,4.56E-01,-1.41E-01
7.34E+04,4.55E-01,-1.20E-01
6.29E+04,4.56E-01,-1.01E-01
5.39E+04,4.56E-01,-8.58E-02
4.62E+04,4.56E-01,-7.18E-02
3.96E+04,4.57E-01,-5.99E-02
3.39E+04,4.57E-01,-4.97E-02
2.91E+04,4.58E-01,-4.09E-02
2.49E+04,4.59E-01,-3.32E-02
2.14E+04,4.60E-01,-2.63E-02
1.83E+04,4.60E-01,-2.10E-02
1.57E+04,4.61E-01,-1.58E-02
1.34E+04,4.62E-01,-1.10E-02
1.15E+04,4.63E-01,-7.17E-03
9.87E+03,4.65E-01,-3.68E-03
8.46E+03,4.66E-01,-3.56E-04
7.25E+03,4.67E-01,2.21E-03
6.22E+03,4.68E-01,4.99E-03
5.34E+03,4.69E-01,7.03E-03
4.57E+03,4.71E-01,9.45E-03
3.91E+03,4.73E-01,1.19E-02
3.35E+03,4.74E-01,1.37E-02
2.87E+03,4.76E-01,1.55E-02
2.46E+03,4.78E-01,1.76E-02
2.11E+03,4.80E-01,1.94E-02
1.81E+03,4.82E-01,2.09E-02
1.55E+03,4.84E-01,2.28E-02
1.33E+03,4.87E-01,2.47E-02
1.14E+03,4.89E-01,2.66E-02
9.75E+02,4.92E-01,2.84E-02
8.35E+02,4.95E-01,3.04E-02
7.16E+02,4.98E-01,3.23E-02
6.14E+02,5.01E-01,3.42E-02
5.26E+02,5.05E-01,3.65E-02
4.51E+02,5.08E-01,3.84E-02
3.86E+02,5.12E-01,4.05E-02
3.31E+02,5.16E-01,4.27E-02
2.84E+02,5.20E-01,4.47E-02
2.43E+02,5.25E-01,4.69E-02
2.08E+02,5.29E-01,4.91E-02
1.78E+02,5.35E-01,5.15E-02
1.53E+02,5.40E-01,5.31E-02
1.31E+02,5.46E-01,5.51E-02
1.12E+02,5.52E-01,5.74E-02
9.63E+01,5.58E-01,5.86E-02
8.25E+01,5.65E-01,5.99E-02
7.07E+01,5.71E-01,6.12E-02
6.06E+01,5.78E-01,6.27E-02
5.19E+01,5.85E-01,6.25E-02
4.45E+01,5.92E-01,6.31E-02
3.82E+01,6.00E-01,6.30E-02
3.27E+01,6.07E-01,6.28E-02
2.80E+01,6.14E-01,6.22E-02
2.40E+01,6.21E-01,6.17E-02
2.06E+01,6.28E-01,5.96E-02
1.76E+01,6.35E-01,5.79E-02
1.51E+01,6.42E-01,5.60E-02
1.29E+01,6.48E-01,5.36E-02
1.11E+01,6.54E-01,5.08E-02
9.50E+00,6.59E-01,4.83E-02
8.16E+00,6.64E-01,4.54E-02
6.99E+00,6.68E-01,4.24E-02
5.98E+00,6.73E-01,3.94E-02
5.13E+00,6.76E-01,3.66E-02
4.40E+00,6.80E-01,3.40E-02
3.76E+00,6.83E-01,3.09E-02
3.23E+00,6.85E-01,2.82E-02
2.76E+00,6.88E-01,2.57E-02
2.37E+00,6.90E-01,2.32E-02
2.03E+00,6.91E-01,2.12E-02
1.74E+00,6.93E-01,1.90E-02
1.49E+00,6.94E-01,1.72E-02
1.28E+00,6.95E-01,1.51E-02
1.09E+00,6.96E-01,1.36E-02
9.39E-01,6.97E-01,1.22E-02
8.05E-01,6.98E-01,1.07E-02
6.89E-01,6.98E-01,9.56E-03
5.91E-01,6.99E-01,8.46E-03
5.06E-01,6.99E-01,7.50E-03
4.34E-01,6.99E-01,6.72E-03
3.72E-01,7.00E-01,5.96E-03
3.18E-01,7.00E-01,5.27E-03
2.73E-01,7.00E-01,4.67E-03
2.34E-01,7.00E-01,4.13E-03
2.01E-01,7.00E-01,3.62E-03
1.72E-01,7.01E-01,3.13E-03
1.47E-01,7.01E-01,2.76E-03
1.26E-01,7.00E-01,2.46E-03
1.08E-01,7.00E-01,2.09E-03
9.28E-02,7.00E-01,1.82E-03
7.94E-02,7.00E-01,1.64E-03
6.81E-02,7.00E-01,1.46E-03
5.84E-02,7.00E-01,1.29E-03
5.00E-02,7.00E-01,1.13E-03
