freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,6.61E-01,-1.61E-01
8.57E+04,6.62E-01,-1.36E-01
7.34E+04,6.62E-01,-1.14E-01
6.29E+04,6.63E-01,-9.60E-02
5.39E+04,6.65E-01,-7.95E-02
4.62E+04,6.65E-01,-6.62E-02
3.96E+04,6.66E-01,-5.37E-02
3.39E+04,6.68E-01,-4.29E-02
2.91E+04,6.69E-01,-3.38E-02
2.49E+04,6.70E-01,-2.64E-02
2.14E+04,6.71E-01,-1.95E-02
1.83E+04,6.73E-01,-1.29E-02
1.57E+04,6.74E-01,-7.74E-03
1.34E+04,6.76E-01,-3.06E-03
1.15E+04,6.78E-01,1.37E-03
9.87E+03,6.80E-01,5.43E-03
8.46E+03,6.82E-01,8.86E-03
7.25E+03,6.84E-01,1.26E-02
6.22E+03,6.86E-01,1.52E-02
5.34E+03,6.88E-01,1.83E-02
4.57E+03,6.91E-01,2.11E-02
3.91E+03,6.93E-01,2.36E-02
3.35E+03,6.96E-01,2.64E-02
2.87E+03,6.99E-01,2.92E-02
2.46E+03,7.03E-01,3.21E-02
2.11E+03,7.06E-01,3.45E-02
1.81E+03,7.09E-01,3.71E-02
1.55E+03,7.13E-01,3.94E-02
1.33E+03,7.17E-01,4.19E-02
1.14E+03,7.21E-01,4.50E-02
9.75E+02,7.25E-01,4.77E-02
8.35E+02,7.30E-01,5.05E-02
7.16E+02,7.35E-01,5.34E-02
6.14E+02,7.40E-01,5.61E-02
5.26E+02,7.46E-01,5.91E-02
4.51E+02,7.52E-01,6.18E-02
3.86E+02,7.58E-01,6.51E-02
3.31E+02,7.64E-01,6.83E-02
2.84E+02,7.71E-01,7.20E-02
2.43E+02,7.78E-01,7.55E-02
2.08E+02,7.86E-01,7.83E-02
1.78E+02,7.94E-01,8.17E-02
1.53E+02,8.02E-01,8.48E-02
1.31E+02,8.10E-01,8.78E-02
1.12E+02,8.21E-01,9.14E-02
9.63E+01,8.30E-01,9.43E-02
8.25E+01,8.40E-01,9.67E-02
7.07E+01,8.51E-01,9.97E-02
6.06E+01,8.62E-01,1.02E-01
5.19E+01,8.73E-01,1.03E-01
4.45E+01,8.85E-01,1.05E-01
3.82E+01,8.97E-01,1.06E-01
3.27E+01,9.09E-01,1.06E-01
2.80E+01,9.22E-01,1.06E-01
2.40E+01,9.33E-01,1.05E-01
2.06E+01,9.45E-01,1.03E-01
1.76E+01,9.57E-01,1.01E-01
1.51E+01,9.69E-01,9.84E-02
1.29E+01,9.80E-01,9.51E-02
1.11E+01,9.90E-01,9.16E-02
9.50E+00,1.00E+00,8.75E-02
8.16E+00,1.01E+00,8.28E-02
6.99E+00,1.02E+00,7.84E-02
5.98E+00,1.03E+00,7.31E-02
5.13E+00,1.03E+00,6.88E-02
4.40E+00,1.04E+00,6.37E-02
3.76E+00,1.05E+00,5.89E-02
3.23E+00,1.05E+00,5.39E-02
2.76E+00,1.06E+00,4.95E-02
2.37E+00,1.06E+00,4.54E-02
2.03E+00,1.06E+00,4.11E-02
1.74E+00,1.07E+00,3.71E-02
1.49E+00,1.07E+00,3.37E-02
1.28E+00,1.07E+00,3.05E-02
1.09E+00,1.07E+00,2.71E-02
9.39E-01,1.08E+00,2.44E-02
8.05E-01,1.08E+00,2.16E-02
6.89E-01,1.08E+00,1.94E-02
5.91E-01,1.08E+00,1.73E-02
5.06E-01,1.08E+00,1.54E-02
4.34E-01,1.08E+00,1.36E-02
3.72E-01,1.08E+00,1.21E-02
3.18E-01,1.08E+00,1.07E-02
2.73E-01,1.08E+00,9.50E-03
2.34E-01,1.08E+00,8.31E-03
2.01E-01,1.08E+00,7.43E-03
1.72E-01,1.08E+00,6.53E-03
1.47E-01,1.08E+00,5.77E-03
1.26E-01,1.08E+00,4.94E-03
1.08E-01,1.08E+00,4.46E-03
9.28E-02,1.08E+00,3.89E-03
7.94E-02,1.08E+00,3.54E-03
6.81E-02,1.08E+00,3.10E-03
5.84E-02,1.08E+00,2.66E-03
5.00E-02,1.08E+00,2.29E-03
