freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,4.55E-01,-1.66E-01
8.57E+04,4.55E-01,-1.41E-01
7.34E+04,4.55E-01,-1.19E-01
6.29E+04,4.55E-01,-1.01E-01
5.39E+04,4.56E-01,-8.51E-02
4.62E+04,4.56E-01,-7.12E-02
3.96E+04,4.57E-01,-5.97E-02
3.39E+04,4.58E-01,-4.94E-02
2.91E+04,4.58E-01,-4.04E-02
2.49E+04,4.59E-01,-3.29E-02
2.14E+04,4.60E-01,-2.62E-02
1.83E+04,4.61E-01,-2.04E-02
1.57E+04,4.62E-01,-1.55E-02
1.34E+04,4.63E-01,-1.09E-02
1.15E+04,4.64E-01,-6.77E-03
9.87E+03,4.65E-01,-3.35E-03
8.46E+03,4.66E-01,2.64E-04
7.25E+03,4.67E-01,3.00E-03
6.22E+03,4.69E-01,5.41E-03
5.34E+03,4.70E-01,8.00E-03
4.57E+03,4.72E-01,1.05E-02
3.91E+03,4.74E-01,1.27E-02
3.35E+03,4.75E-01,1.49E-02
2.87E+03,4.77E-01,1.68E-02
2.46E+03,4.79E-01,1.88E-02
2.11E+03,4.81E-01,2.10E-02
1.81E+03,4.83E-01,2.31E-02
1.55E+03,4.85E-01,2.53E-02
1.33E+03,4.88E-01,2.70E-02
1.14E+03,4.90E-01,2.96E-02
9.75E+02,4.93E-01,3.15E-02
8.35E+02,4.96E-01,3.38E-02
7.16E+02,4.99E-01,3.63E-02
6.14E+02,5.03E-01,3.88E-02
5.26E+02,5.07E-01,4.15E-02
4.51E+02,5.11E-01,4.37E-02
3.86E+02,5.15E-01,4.66E-02
3.31E+02,5.19E-01,4.93E-02
2.84E+02,5.25E-01,5.23E-02
2.43E+02,5.30E-01,5.51E-02
2.08E+02,5.35E-01,5.80E-02
1.78E+02,5.42E-01,6.10E-02
1.53E+02,5.48E-01,6.40E-02
1.31E+02,5.54E-01,6.70E-02
1.12E+02,5.61E-01,6.95E-02
9.63E+01,5.69E-01,7.20E-02
8.25E+01,5.76E-01,7.43E-02
7.07E+01,5.85E-01,7.63E-02
6.06E+01,5.93E-01,7.86E-02
5.19E+01,6.02E-01,8.03E-02
4.45E+01,6.11E-01,8.14E-02
3.82E+01,6.21E-01,8.24E-02
3.27E+01,6.30E-01,8.28E-02
2.80E+01,6.40E-01,8.23E-02
2.40E+01,6.49E-01,8.18E-02
2.06E+01,6.59E-01,8.09E-02
1.76E+01,6.68E-01,7.98E-02
1.51E+01,6.77E-01,7.76E-02
1.29E+01,6.86E-01,7.50E-02
1.11E+01,6.95E-01,7.24E-02
9.50E+00,7.03E-01,6.89E-02
8.16E+00,7.10E-01,6.55E-02
6.99E+00,7.17E-01,6.17E-02
5.98E+00,7.23E-01,5.80E-02
5.13E+00,7.29E-01,5.37E-02
4.40E+00,7.34E-01,5.02E-02
3.76E+00,7.39E-01,4.59E-02
3.23E+00,7.43E-01,4.20E-02
2.76E+00,7.46E-01,3.86E-02
2.37E+00,7.49E-01,3.48E-02
2.03E+00,7.52E-01,3.14E-02
1.74E+00,7.55E-01,2.85E-02
1.49E+00,7.56E-01,2.57E-02
1.28E+00,7.58E-01,2.29E-02
1.09E+00,7.60E-01,2.04E-02
9.39E-01,7.61E-01,1.83E-02
8.05E-01,7.62E-01,1.63E-02
6.89E-01,7.63E-01,1.45E-02
5.91E-01,7.64E-01,1.29E-02
5.06E-01,7.64E-01,1.14E-02
4.34E-01,7.64E-01,1.00E-02
3.72E-01,7.65E-01,8.86E-03
3.18E-01,7.65E-01,7.77E-03
2.73E-01,7.66E-01,6.92E-03
2.34E-01,7.66E-01,6.02E-03
2.01E-01,7.66E-01,5.34E-03
1.72E-01,7.66E-01,4.64E-03
1.47E-01,7.66E-01,4.07E-03
1.26E-01,7.66E-01,3.59E-03
1.08E-01,7.66E-01,3.20E-03
9.28E-02,7.66E-01,2.81E-03
7.94E-02,7.66E-01,2.38E-03
6.81E-02,7.65E-01,2.07E-03
5.84E-02,7.65E-01,1.80E-03
5.00E-02,7.65E-01,1.59E-03
