freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,1.04E+00,-1.51E-01
8.57E+04,1.04E+00,-1.27E-01
7.34E+04,1.04E+00,-1.05E-01
6.29E+04,1.04E+00,-8.61E-02
5.39E+04,1.05E+00,-7.02E-02
4.62E+04,1.05E+00,-5.69E-02
3.96E+04,1.05E+00,-4.39E-02
3.39E+04,1.05E+00,-3.27E-02
2.91E+04,1.05E+00,-2.43E-02
2.49E+04,1.06E+00,-1.59E-02
2.14E+04,1.06E+00,-8.87E-03
1.83E+04,1.06E+00,-1.77E-03
1.57E+04,1.06E+00,3.58E-03
1.34E+04,1.07E+00,8.12E-03
1.15E+04,1.07E+00,1.28E-02
9.87E+03,1.07E+00,1.61E-02
8.46E+03,1.07E+00,2.23E-02
7.25E+03,1.08E+00,2.55E-02
6.22E+03,1.08E+00,2.93E-02
5.34E+03,1.08E+00,3.21E-02
4.57E+03,1.09E+00,3.71E-02
3.91E+03,1.09E+00,3.99E-02
3.35E+03,1.10E+00,4.39E-02
2.87E+03,1.10E+00,4.64E-02
2.46E+03,1.11E+00,5.07E-02
2.11E+03,1.11E+00,5.38E-02
1.81E+03,1.12E+00,5.73E-02
1.55E+03,1.12E+00,6.12E-02
1.33E+03,1.13E+00,6.60E-02
1.14E+03,1.13E+00,6.89E-02
9.75E+02,1.14E+00,7.38E-02
8.35E+02,1.15E+00,7.69E-02
7.16E+02,1.15E+00,8.14E-02
6.14E+02,1.16E+00,8.58E-02
5.26E+02,1.17E+00,9.00E-02
4.51E+02,1.18E+00,9.56E-02
3.86E+02,1.19E+00,9.97E-02
3.31E+02,1.20E+00,1.05E-01
2.84E+02,1.21E+00,1.10E-01
2.43E+02,1.22E+00,1.14E-01
2.08E+02,1.23E+00,1.19E-01
1.78E+02,1.24E+00,1.26E-01
1.53E+02,1.26E+00,1.31E-01
1.31E+02,1.27E+00,1.36E-01
1.12E+02,1.28E+00,1.41E-01
9.63E+01,1.30E+00,1.46E-01
8.25E+01,1.31E+00,1.51E-01
7.07E+01,1.33E+00,1.56E-01
6.06E+01,1.35E+00,1.60E-01
5.19E+01,1.36E+00,1.64E-01
4.45E+01,1.38E+00,1.68E-01
3.82E+01,1.40E+00,1.71E-01
3.27E+01,1.42E+00,1.73E-01
2.80E+01,1.44E+00,1.75E-01
2.40E+01,1.46E+00,1.76E-01
2.06E+01,1.48E+00,1.76E-01
1.76E+01,1.50E+00,1.74E-01
1.51E+01,1.52E+00,1.71E-01
1.29E+01,1.54E+00,1.68E-01
1.11E+01,1.56E+00,1.64E-01
9.50E+00,1.58E+00,1.59E-01
8.16E+00,1.59E+00,1.54E-01
6.99E+00,1.61E+00,1.48E-01
5.98E+00,1.63E+00,1.39E-01
5.13E+00,1.64E+00,1.34E-01
4.40E+00,1.65E+00,1.25E-01
3.76E+00,1.67E+00,1.18E-01
3.23E+00,1.68E+00,1.10E-01
2.76E+00,1.69E+00,1.02E-01
2.37E+00,1.70E+00,9.49E-02
2.03E+00,1.71E+00,8.73E-02
1.74E+00,1.72E+00,7.96E-02
1.49E+00,1.72E+00,7.25E-02
1.28E+00,1.73E+00,6.62E-02
1.09E+00,1.73E+00,5.99E-02
9.39E-01,1.74E+00,5.41E-02
8.05E-01,1.74E+00,4.85E-02
6.89E-01,1.74E+00,4.34E-02
5.91E-01,1.75E+00,3.94E-02
5.06E-01,1.75E+00,3.48E-02
4.34E-01,1.75E+00,3.10E-02
3.72E-01,1.75E+00,2.75E-02
3.18E-01,1.75E+00,2.46E-02
2.73E-01,1.75E+00,2.19E-02
2.34E-01,1.76E+00,1.92E-02
2.01E-01,1.76E+00,1.75E-02
1.72E-01,1.76E+00,1.53E-02
1.47E-01,1.76E+00,1.34E-02
1.26E-01,1.76E+00,1.20E-02
1.08E-01,1.76E+00,1.04E-02
9.28E-02,1.76E+00,9.06E-03
7.94E-02,1.76E+00,7.85E-03
6.81E-02,1.76E+00,7.05E-03
5.84E-02,1.76E+00,6.23E-03
5.00E-02,1.76E+00,5.35E-03
