freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,4.55E-01,-1.67E-01
8.57E+04,4.56E-01,-1.41E-01
7.34E+04,4.55E-01,-1.20E-01
6.29E+04,4.55E-01,-1.02E-01
5.39E+04,4.56E-01,-8.59E-02
4.62E+04,4.56E-01,-7.20E-02
3.96E+04,4.57E-01,-6.01E-02
3.39E+04,4.57E-01,-4.98E-02
2.91E+04,4.58E-01,-4.12E-02
2.49E+04,4.59E-01,-3.37E-02
2.14E+04,4.59E-01,-2.69E-02
1.83E+04,4.60E-01,-2.12E-02
1.57E+04,4.61E-01,-1.61E-02
1.34E+04,4.62E-01,-1.17E-02
1.15E+04,4.63E-01,-7.67E-03
9.87E+03,4.64E-01,-4.12E-03
8.46E+03,4.66E-01,-1.24E-03
7.25E+03,4.67E-01,1.42E-03
6.22E+03,4.68E-01,4.09E-03
5.34E+03,4.69E-01,6.64E-03
4.57E+03,4.71E-01,8.56E-03
3.91E+03,4.72E-01,1.05E-02
3.35E+03,4.74E-01,1.25E-02
2.87E+03,4.76E-01,1.44E-02
2.46E+03,4.78E-01,1.59E-02
2.11E+03,4.79E-01,1.72E-02
1.81E+03,4.81E-01,1.89E-02
1.55E+03,4.83E-01,2.05E-02
1.33E+03,4.86E-01,2.20E-02
1.14E+03,4.88E-01,2.36E-02
9.75E+02,4.90E-01,2.50E-02
8.35E+02,4.93E-01,2.67E-02
7.16E+02,4.96E-01,2.81E-02
6.14E+02,4.99E-01,2.98E-02
5.26E+02,5.01E-01,3.13E-02
4.51E+02,5.04E-01,3.27E-02
3.86E+02,5.08E-01,3.44E-02
3.31E+02,5.11E-01,3.57E-02
2.84E+02,5.16E-01,3.68E-02
2.43E+02,5.19E-01,3.85E-02
2.08E+02,5.23E-01,3.99E-02
1.78E+02,5.27E-01,4.14E-02
1.53E+02,5.32E-01,4.28E-02
1.31E+02,5.37E-01,4.38E-02
1.12E+02,5.42E-01,4.48E-02
9.63E+01,5.47E-01,4.58E-02
8.25E+01,5.52E-01,4.61E-02
7.07E+01,5.57E-01,4.67E-02
6.06E+01,5.62E-01,4.69E-02
5.19E+01,5.68E-01,4.71E-02
4.45E+01,5.73E-01,4.71E-02
3.82E+01,5.78E-01,4.60E-02
3.27E+01,5.83E-01,4.52E-02
2.80E+01,5.89E-01,4.42E-02
2.40E+01,5.93E-01,4.32E-02
2.06E+01,5.98E-01,4.20E-02
1.76E+01,6.03E-01,4.03E-02
1.51E+01,6.07E-01,3.85E-02
1.29E+01,6.11E-01,3.68E-02
1.11E+01,6.15E-01,3.48E-02
9.50E+00,6.19E-01,3.28E-02
8.16E+00,6.22E-01,3.06E-02
6.99E+00,6.25E-01,2.89E-02
5.98E+00,6.28E-01,2.65E-02
5.13E+00,6.30E-01,2.44E-02
4.40E+00,6.32E-01,2.25E-02
3.76E+00,6.34E-01,2.06E-02
3.23E+00,6.36E-01,1.89E-02
2.76E+00,6.37E-01,1.71E-02
2.37E+00,6.38E-01,1.56E-02
2.03E+00,6.40E-01,1.40E-02
1.74E+00,6.41E-01,1.26E-02
1.49E+00,6.41E-01,1.13E-02
1.28E+00,6.42E-01,1.02E-02
1.09E+00,6.43E-01,9.26E-03
9.39E-01,6.43E-01,8.14E-03
8.05E-01,6.44E-01,7.34E-03
6.89E-01,6.44E-01,6.58E-03
5.91E-01,6.45E-01,5.81E-03
5.06E-01,6.45E-01,5.18E-03
4.34E-01,6.45E-01,4.58E-03
3.72E-01,6.45E-01,3.98E-03
3.18E-01,6.46E-01,3.62E-03
2.73E-01,6.46E-01,3.19E-03
2.34E-01,6.46E-01,2.84E-03
2.01E-01,6.46E-01,2.45E-03
1.72E-01,6.46E-01,2.22E-03
1.47E-01,6.46E-01,1.94E-03
1.26E-01,6.46E-01,1.72E-03
1.08E-01,6.46E-01,1.57E-03
9.28E-02,6.46E-01,1.38E-03
7.94E-02,6.46E-01,1.16E-03
6.81E-02,6.46E-01,9.96E-04
5.84E-02,6.46E-01,8.55E-04
5.00E-02,6.46E-01,8.28E-04
