freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.0000371000E+05,3.5090813500E+00,-3.3638008000E-02
8.5705539000E+04,3.5172910500E+00,-1.6668310500E-02
7.3457906000E+04,3.5273397000E+00,-1.2269946500E-03
6.2954645000E+04,3.5346389000E+00,9.0298030000E-03
5.3954500000E+04,3.5424933500E+00,1.8906889500E-02
4.6244063000E+04,3.5501213000E+00,2.5708766500E-02
3.9637770000E+04,3.5551951000E+00,3.2822888500E-02
3.3968598000E+04,3.5627002500E+00,4.1483480500E-02
2.9115945000E+04,3.5700662000E+00,4.4515524000E-02
2.4949895000E+04,3.5739217000E+00,4.9207858500E-02
2.1386949000E+04,3.5814228000E+00,5.6531830000E-02
1.8325047000E+04,3.5864649000E+00,5.9845755000E-02
1.5708504000E+04,3.5965569000E+00,6.4332030000E-02
1.3463110000E+04,3.6014256500E+00,6.9146735000E-02
1.1542460000E+04,3.6092400500E+00,7.3979790000E-02
9.8908828000E+03,3.6153204500E+00,7.8481240000E-02
8.5386592000E+03,3.6232414000E+00,8.3631345000E-02
7.2666143000E+03,3.6313812500E+00,8.7879335000E-02
6.2269150000E+03,3.6394605500E+00,9.4543735000E-02
5.3855713000E+03,3.6475298500E+00,1.0081985500E-01
4.5706118000E+03,3.6596431500E+00,1.0643470500E-01
3.9212549000E+03,3.6661372000E+00,1.1240150000E-01
3.3610754000E+03,3.6775431500E+00,1.2113087000E-01
2.8772378000E+03,3.6890149000E+00,1.2577262500E-01
2.4689504000E+03,3.6992197000E+00,1.3391791500E-01
2.1156768000E+03,3.7109091500E+00,1.4104119000E-01
1.8129009000E+03,3.7243023000E+00,1.4815654000E-01
1.5535089000E+03,3.7356732000E+00,1.5591590000E-01
1.3321317000E+03,3.7491228500E+00,1.6449505000E-01
1.1403649000E+03,3.7642512500E+00,1.7450231500E-01
9.7780975000E+02,3.7794320500E+00,1.8642124500E-01
8.3812256000E+02,3.7954528500E+00,1.9636769500E-01
7.1839056000E+02,3.8143883000E+00,2.1035687500E-01
6.1598560000E+02,3.8301849500E+00,2.2326959500E-01
5.2746814000E+02,3.8496823500E+00,2.3613937000E-01
4.5246143000E+02,3.8693468500E+00,2.5097736500E-01
3.8764313000E+02,3.8905027000E+00,2.6466202500E-01
3.3223257000E+02,3.9134764500E+00,2.8501776000E-01
2.8472668000E+02,3.9394939000E+00,3.0274591000E-01
2.4414059000E+02,3.9641220500E+00,3.2263553000E-01
2.0899681000E+02,3.9921634000E+00,3.4480530000E-01
1.7914014000E+02,4.0239949000E+00,3.6584857000E-01
1.5367227000E+02,4.0560508000E+00,3.9055657500E-01
1.3172824000E+02,4.0906434000E+00,4.1878995500E-01
1.1286903000E+02,4.1293597000E+00,4.4543376500E-01
9.6765022000E+01,4.1703696500E+00,4.7199073500E-01
8.2904221000E+01,4.2127075000E+00,5.0102115000E-01
7.1022728000E+01,4.2634334500E+00,5.3110285000E-01
6.0876625000E+01,4.3147554500E+00,5.6292095000E-01
5.2152874000E+01,4.3685851000E+00,5.9281540000E-01
4.4728058000E+01,4.4245677000E+00,6.3044785000E-01
3.8343559000E+01,4.4933009000E+00,6.6584700000E-01
3.2865086000E+01,4.5547352000E+00,6.9898175000E-01
2.8170074000E+01,4.6287117000E+00,7.3493365000E-01
2.4142458000E+01,4.7030225000E+00,7.7110390000E-01
2.0667992000E+01,4.7838678500E+00,8.0195855000E-01
1.7715418000E+01,4.8671055000E+00,8.3934895000E-01
1.5199415000E+01,4.9575171500E+00,8.6926155000E-01
1.3020833000E+01,5.0474910000E+00,8.9896525000E-01
1.1160713000E+01,5.1429465000E+00,9.3033850000E-01
9.5624247000E+00,5.2451145000E+00,9.5951540000E-01
8.1892033000E+00,5.3548315000E+00,9.8222500000E-01
7.0256276000E+00,5.4668980000E+00,1.0055141500E+00
6.0188751000E+00,5.5879225000E+00,1.0184775500E+00
5.1601720000E+00,5.6872850000E+00,1.0323658000E+00
4.4188347000E+00,5.8177685000E+00,1.0347682000E+00
3.7924759000E+00,5.9263795000E+00,1.0517832000E+00
3.2497916000E+00,6.0423370000E+00,1.0407496500E+00
2.7822297000E+00,6.1695110000E+00,1.0354889500E+00
2.3847680000E+00,6.2829760000E+00,1.0329852000E+00
2.0430176000E+00,6.3944040000E+00,1.0102279000E+00
1.7516816000E+00,6.5148835000E+00,9.8301290000E-01
1.5035604000E+00,6.6270755000E+00,9.6351010000E-01
1.2887658000E+00,6.7282405000E+00,9.3435935000E-01
1.1047090000E+00,6.8267730000E+00,8.9535470000E-01
9.4559461000E-01,6.9289750000E+00,8.5103710000E-01
8.1076193000E-01,7.0210550000E+00,8.1371645000E-01
6.9395095000E-01,7.1080380000E+00,7.7190335000E-01
5.9591913000E-01,7.1775105000E+00,7.2488970000E-01
5.1062095000E-01,7.2499540000E+00,6.7506365000E-01
4.3767506000E-01,7.3176700000E+00,6.2649655000E-01
3.7502402000E-01,7.3758355000E+00,5.8178545000E-01
3.2144913000E-01,7.4263315000E+00,5.3569450000E-01
2.7528188000E-01,7.4716870000E+00,4.8912170500E-01
2.3622704000E-01,7.5131755000E+00,4.4410217000E-01
2.0234396000E-01,7.5494535000E+00,4.0300581000E-01
1.7341843000E-01,7.5797745000E+00,3.6432877000E-01
1.4859445000E-01,7.6046370000E+00,3.2721594000E-01
1.2735555000E-01,7.6269210000E+00,2.9289564500E-01
1.0915885000E-01,7.6471860000E+00,2.6131645000E-01
9.3500197000E-02,7.6632640000E+00,2.3303987000E-01
8.0111787000E-02,7.6766100000E+00,2.0787160000E-01
6.8729654000E-02,7.6896770000E+00,1.8385888500E-01
5.8819320000E-02,7.6995460000E+00,1.6199119500E-01
5.0462481000E-02,7.7083405000E+00,1.4391507000E-01
4.3254748000E-02,7.7159900000E+00,1.2705578000E-01
3.7026066000E-02,7.7215105000E+00,1.1172870000E-01
3.1775698000E-02,7.7259050000E+00,9.8677815000E-02
2.7225051000E-02,7.7293975000E+00,8.6867615000E-02
2.3316164000E-02,7.7334050000E+00,7.6463900000E-02
1.9992474000E-02,7.7386050000E+00,6.6938335000E-02
