freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,3.54E+00,-2.74E-02
8.57E+04,3.55E+00,-1.05E-02
7.35E+04,3.56E+00,3.76E-03
6.30E+04,3.56E+00,1.62E-02
5.40E+04,3.58E+00,2.36E-02
4.62E+04,3.58E+00,3.29E-02
3.96E+04,3.59E+00,4.13E-02
3.40E+04,3.60E+00,4.72E-02
2.91E+04,3.60E+00,5.20E-02
2.49E+04,3.61E+00,5.88E-02
2.14E+04,3.62E+00,6.14E-02
1.83E+04,3.62E+00,6.84E-02
1.57E+04,3.63E+00,7.55E-02
1.35E+04,3.64E+00,7.82E-02
1.15E+04,3.65E+00,8.40E-02
9.89E+03,3.66E+00,8.81E-02
8.54E+03,3.66E+00,9.36E-02
7.27E+03,3.67E+00,9.68E-02
6.23E+03,3.68E+00,1.06E-01
5.39E+03,3.69E+00,1.11E-01
4.57E+03,3.70E+00,1.16E-01
3.92E+03,3.71E+00,1.25E-01
3.36E+03,3.72E+00,1.31E-01
2.88E+03,3.73E+00,1.38E-01
2.47E+03,3.75E+00,1.47E-01
2.12E+03,3.76E+00,1.55E-01
1.81E+03,3.78E+00,1.62E-01
1.55E+03,3.79E+00,1.74E-01
1.33E+03,3.80E+00,1.84E-01
1.14E+03,3.82E+00,1.95E-01
9.78E+02,3.84E+00,2.04E-01
8.38E+02,3.85E+00,2.18E-01
7.18E+02,3.87E+00,2.30E-01
6.16E+02,3.89E+00,2.46E-01
5.27E+02,3.91E+00,2.63E-01
4.52E+02,3.93E+00,2.78E-01
3.88E+02,3.96E+00,2.99E-01
3.32E+02,3.98E+00,3.20E-01
2.85E+02,4.01E+00,3.41E-01
2.44E+02,4.04E+00,3.65E-01
2.09E+02,4.07E+00,3.92E-01
1.79E+02,4.10E+00,4.23E-01
1.54E+02,4.14E+00,4.48E-01
1.32E+02,4.18E+00,4.81E-01
1.13E+02,4.22E+00,5.12E-01
9.68E+01,4.27E+00,5.49E-01
8.29E+01,4.32E+00,5.86E-01
7.10E+01,4.37E+00,6.23E-01
6.09E+01,4.43E+00,6.64E-01
5.22E+01,4.50E+00,7.03E-01
4.47E+01,4.57E+00,7.47E-01
3.83E+01,4.64E+00,7.87E-01
3.29E+01,4.72E+00,8.33E-01
2.82E+01,4.80E+00,8.76E-01
2.41E+01,4.89E+00,9.20E-01
2.07E+01,4.98E+00,9.67E-01
1.77E+01,5.08E+00,1.01E+00
1.52E+01,5.19E+00,1.05E+00
1.30E+01,5.30E+00,1.09E+00
1.12E+01,5.42E+00,1.13E+00
9.56E+00,5.54E+00,1.17E+00
8.19E+00,5.67E+00,1.20E+00
7.03E+00,5.81E+00,1.22E+00
6.02E+00,5.95E+00,1.27E+00
5.16E+00,6.09E+00,1.27E+00
4.42E+00,6.24E+00,1.31E+00
3.79E+00,6.37E+00,1.31E+00
3.25E+00,6.53E+00,1.31E+00
2.78E+00,6.68E+00,1.32E+00
2.38E+00,6.82E+00,1.31E+00
2.04E+00,6.98E+00,1.28E+00
1.75E+00,7.12E+00,1.27E+00
1.50E+00,7.26E+00,1.25E+00
1.29E+00,7.40E+00,1.21E+00
1.10E+00,7.54E+00,1.16E+00
9.46E-01,7.67E+00,1.13E+00
8.11E-01,7.78E+00,1.08E+00
6.94E-01,7.90E+00,1.02E+00
5.96E-01,8.00E+00,9.60E-01
5.11E-01,8.10E+00,9.03E-01
4.38E-01,8.19E+00,8.47E-01
3.75E-01,8.26E+00,7.86E-01
3.21E-01,8.34E+00,7.23E-01
2.75E-01,8.40E+00,6.62E-01
2.36E-01,8.46E+00,6.08E-01
2.02E-01,8.51E+00,5.53E-01
1.73E-01,8.55E+00,5.00E-01
1.49E-01,8.58E+00,4.51E-01
1.27E-01,8.62E+00,4.05E-01
1.09E-01,8.64E+00,3.63E-01
9.35E-02,8.66E+00,3.24E-01
8.01E-02,8.68E+00,2.89E-01
6.87E-02,8.69E+00,2.57E-01
5.88E-02,8.71E+00,2.26E-01
5.05E-02,8.71E+00,2.00E-01
4.33E-02,8.72E+00,1.78E-01
3.70E-02,8.73E+00,1.56E-01
3.18E-02,8.73E+00,1.37E-01
2.72E-02,8.73E+00,1.21E-01
2.33E-02,8.74E+00,1.06E-01
2.00E-02,8.74E+00,9.31E-02
