freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.0000371000E+05,3.4991984500E+00,-3.4111827500E-02
8.5705539000E+04,3.5067305500E+00,-1.7573079000E-02
7.3457906000E+04,3.5150885500E+00,-3.1982041000E-03
6.2954645000E+04,3.5221648000E+00,8.7157775000E-03
5.3954500000E+04,3.5311014500E+00,1.7564291000E-02
4.6244063000E+04,3.5376305500E+00,2.4222199000E-02
3.9637770000E+04,3.5418460500E+00,3.2960783500E-02
3.3968598000E+04,3.5511114500E+00,3.8859021000E-02
2.9115945000E+04,3.5552065500E+00,4.5182239500E-02
2.4949895000E+04,3.5629666000E+00,5.1507400000E-02
2.1386949000E+04,3.5707650000E+00,5.4294775000E-02
1.8325047000E+04,3.5755188500E+00,6.0009725000E-02
1.5708504000E+04,3.5825166500E+00,6.4766770000E-02
1.3463110000E+04,3.5887599000E+00,6.9246625000E-02
1.1542460000E+04,3.5953858000E+00,7.3625340000E-02
9.8908828000E+03,3.6046133000E+00,7.8974925000E-02
8.5386592000E+03,3.6099484000E+00,8.2547025000E-02
7.2666143000E+03,3.6198754500E+00,8.9556225000E-02
6.2269150000E+03,3.6284859000E+00,9.4097405000E-02
5.3855713000E+03,3.6354685000E+00,9.9434500000E-02
4.5706118000E+03,3.6445236000E+00,1.0485255500E-01
3.9212549000E+03,3.6543877000E+00,1.0897725000E-01
3.3610754000E+03,3.6648900500E+00,1.1742435500E-01
2.8772378000E+03,3.6757097000E+00,1.2542703500E-01
2.4689504000E+03,3.6868858500E+00,1.3075107500E-01
2.1156768000E+03,3.6979778000E+00,1.3793055500E-01
1.8129009000E+03,3.7125041500E+00,1.4778404000E-01
1.5535089000E+03,3.7253861500E+00,1.5614208500E-01
1.3321317000E+03,3.7362792500E+00,1.6335547000E-01
1.1403649000E+03,3.7536409000E+00,1.7127949000E-01
9.7780975000E+02,3.7654764500E+00,1.8186885000E-01
8.3812256000E+02,3.7819926500E+00,1.9438252000E-01
7.1839056000E+02,3.7988660500E+00,2.0619876500E-01
6.1598560000E+02,3.8152821000E+00,2.1823477500E-01
5.2746814000E+02,3.8335037000E+00,2.3176487000E-01
4.5246143000E+02,3.8538694500E+00,2.4715948000E-01
3.8764313000E+02,3.8760283000E+00,2.6090067500E-01
3.3223257000E+02,3.8951916500E+00,2.8088146500E-01
2.8472668000E+02,3.9207597000E+00,2.9730177000E-01
2.4414059000E+02,3.9450409500E+00,3.1763369000E-01
2.0899681000E+02,3.9721820500E+00,3.4113011000E-01
1.7914014000E+02,4.0038643000E+00,3.6204436500E-01
1.5367227000E+02,4.0361290000E+00,3.9048743000E-01
1.3172824000E+02,4.0674453000E+00,4.1572112000E-01
1.1286903000E+02,4.1046638500E+00,4.4443303500E-01
9.6765022000E+01,4.1477389500E+00,4.7506395000E-01
8.2904221000E+01,4.1890769000E+00,5.0539990000E-01
