freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,6.66E-01,-1.60E-01
8.57E+04,6.66E-01,-1.35E-01
7.34E+04,6.67E-01,-1.13E-01
6.29E+04,6.68E-01,-9.46E-02
5.39E+04,6.69E-01,-7.86E-02
4.62E+04,6.70E-01,-6.48E-02
3.96E+04,6.71E-01,-5.24E-02
3.39E+04,6.72E-01,-4.19E-02
2.91E+04,6.73E-01,-3.29E-02
2.49E+04,6.74E-01,-2.50E-02
2.14E+04,6.76E-01,-1.83E-02
1.83E+04,6.78E-01,-1.19E-02
1.57E+04,6.79E-01,-6.90E-03
1.34E+04,6.80E-01,-1.35E-03
1.15E+04,6.82E-01,2.74E-03
9.87E+03,6.85E-01,7.08E-03
8.46E+03,6.87E-01,1.07E-02
7.25E+03,6.89E-01,1.44E-02
6.22E+03,6.91E-01,1.74E-02
5.34E+03,6.94E-01,2.02E-02
4.57E+03,6.97E-01,2.35E-02
3.91E+03,6.99E-01,2.67E-02
3.35E+03,7.02E-01,2.94E-02
2.87E+03,7.05E-01,3.23E-02
2.46E+03,7.09E-01,3.54E-02
2.11E+03,7.12E-01,3.82E-02
1.81E+03,7.16E-01,4.21E-02
1.55E+03,7.20E-01,4.54E-02
1.33E+03,7.24E-01,4.76E-02
1.14E+03,7.29E-01,5.19E-02
9.75E+02,7.34E-01,5.53E-02
8.35E+02,7.39E-01,5.95E-02
7.16E+02,7.44E-01,6.26E-02
6.14E+02,7.50E-01,6.76E-02
5.26E+02,7.56E-01,7.14E-02
4.51E+02,7.63E-01,7.60E-02
3.86E+02,7.70E-01,7.93E-02
3.31E+02,7.78E-01,8.48E-02
2.84E+02,7.87E-01,9.02E-02
2.43E+02,7.94E-01,9.46E-02
2.08E+02,8.04E-01,1.00E-01
1.78E+02,8.14E-01,1.06E-01
1.53E+02,8.24E-01,1.11E-01
1.31E+02,8.35E-01,1.16E-01
1.12E+02,8.47E-01,1.22E-01
9.63E+01,8.60E-01,1.27E-01
8.25E+01,8.74E-01,1.32E-01
7.07E+01,8.87E-01,1.38E-01
6.06E+01,9.03E-01,1.42E-01
5.19E+01,9.18E-01,1.46E-01
4.45E+01,9.35E-01,1.50E-01
3.82E+01,9.52E-01,1.54E-01
3.27E+01,9.69E-01,1.56E-01
2.80E+01,9.87E-01,1.58E-01
2.40E+01,1.01E+00,1.59E-01
2.06E+01,1.02E+00,1.59E-01
1.76E+01,1.04E+00,1.59E-01
1.51E+01,1.06E+00,1.57E-01
1.29E+01,1.08E+00,1.54E-01
1.11E+01,1.10E+00,1.50E-01
9.50E+00,1.11E+00,1.45E-01
8.16E+00,1.13E+00,1.40E-01
6.99E+00,1.15E+00,1.34E-01
5.98E+00,1.16E+00,1.27E-01
5.13E+00,1.17E+00,1.19E-01
4.40E+00,1.19E+00,1.13E-01
3.76E+00,1.20E+00,1.05E-01
3.23E+00,1.21E+00,9.71E-02
2.76E+00,1.22E+00,9.02E-02
2.37E+00,1.22E+00,8.26E-02
2.03E+00,1.23E+00,7.53E-02
1.74E+00,1.24E+00,6.98E-02
1.49E+00,1.24E+00,6.25E-02
1.28E+00,1.25E+00,5.62E-02
1.09E+00,1.25E+00,5.04E-02
9.39E-01,1.25E+00,4.54E-02
8.05E-01,1.26E+00,4.05E-02
6.89E-01,1.26E+00,3.62E-02
5.91E-01,1.26E+00,3.19E-02
5.06E-01,1.26E+00,2.84E-02
4.34E-01,1.27E+00,2.52E-02
3.72E-01,1.27E+00,2.25E-02
3.18E-01,1.27E+00,1.98E-02
2.73E-01,1.27E+00,1.76E-02
2.34E-01,1.27E+00,1.53E-02
2.01E-01,1.27E+00,1.36E-02
1.72E-01,1.27E+00,1.19E-02
1.47E-01,1.27E+00,1.04E-02
1.26E-01,1.27E+00,9.14E-03
1.08E-01,1.27E+00,7.97E-03
9.28E-02,1.27E+00,6.94E-03
7.94E-02,1.27E+00,6.04E-03
6.81E-02,1.27E+00,5.39E-03
5.84E-02,1.27E+00,4.70E-03
5.00E-02,1.27E+00,4.01E-03
