freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,1.82E+00,-1.36E-01
8.57E+04,1.82E+00,-1.11E-01
7.35E+04,1.82E+00,-9.08E-02
6.30E+04,1.82E+00,-7.02E-02
5.40E+04,1.83E+00,-5.44E-02
4.62E+04,1.83E+00,-4.03E-02
3.96E+04,1.83E+00,-2.80E-02
3.40E+04,1.83E+00,-1.71E-02
2.91E+04,1.84E+00,-7.42E-03
2.49E+04,1.84E+00,5.37E-04
2.14E+04,1.84E+00,8.57E-03
1.83E+04,1.85E+00,1.56E-02
1.57E+04,1.85E+00,2.23E-02
1.35E+04,1.86E+00,2.83E-02
1.15E+04,1.86E+00,3.43E-02
9.89E+03,1.87E+00,3.98E-02
8.54E+03,1.87E+00,4.49E-02
7.27E+03,1.88E+00,4.97E-02
6.23E+03,1.88E+00,5.47E-02
5.39E+03,1.89E+00,5.89E-02
4.57E+03,1.89E+00,6.43E-02
3.92E+03,1.90E+00,6.96E-02
3.36E+03,1.91E+00,7.54E-02
2.88E+03,1.91E+00,8.00E-02
2.47E+03,1.92E+00,8.62E-02
2.12E+03,1.93E+00,9.24E-02
1.81E+03,1.94E+00,9.80E-02
1.55E+03,1.94E+00,1.06E-01
1.33E+03,1.95E+00,1.13E-01
1.14E+03,1.96E+00,1.20E-01
9.78E+02,1.97E+00,1.28E-01
8.38E+02,1.99E+00,1.37E-01
7.18E+02,2.00E+00,1.46E-01
6.16E+02,2.01E+00,1.57E-01
5.27E+02,2.02E+00,1.67E-01
4.52E+02,2.04E+00,1.78E-01
3.88E+02,2.05E+00,1.90E-01
3.32E+02,2.07E+00,2.02E-01
2.85E+02,2.09E+00,2.15E-01
2.44E+02,2.11E+00,2.29E-01
2.09E+02,2.13E+00,2.43E-01
1.79E+02,2.16E+00,2.58E-01
1.54E+02,2.18E+00,2.73E-01
1.32E+02,2.21E+00,2.88E-01
1.13E+02,2.24E+00,3.04E-01
9.68E+01,2.26E+00,3.21E-01
8.29E+01,2.30E+00,3.38E-01
7.10E+01,2.33E+00,3.54E-01
6.09E+01,2.37E+00,3.71E-01
5.22E+01,2.40E+00,3.88E-01
4.47E+01,2.44E+00,4.05E-01
3.83E+01,2.49E+00,4.21E-01
3.29E+01,2.53E+00,4.37E-01
2.82E+01,2.58E+00,4.52E-01
2.41E+01,2.63E+00,4.66E-01
2.07E+01,2.68E+00,4.80E-01
1.77E+01,2.73E+00,4.91E-01
1.52E+01,2.79E+00,4.99E-01
1.30E+01,2.84E+00,5.07E-01
1.12E+01,2.90E+00,5.08E-01
9.56E+00,2.96E+00,5.11E-01
8.19E+00,3.02E+00,5.12E-01
7.03E+00,3.08E+00,5.08E-01
6.02E+00,3.13E+00,5.02E-01
5.16E+00,3.20E+00,4.92E-01
4.42E+00,3.25E+00,4.80E-01
3.79E+00,3.30E+00,4.64E-01
3.25E+00,3.35E+00,4.52E-01
2.78E+00,3.41E+00,4.33E-01
2.38E+00,3.45E+00,4.13E-01
2.04E+00,3.50E+00,3.92E-01
1.75E+00,3.53E+00,3.67E-01
1.50E+00,3.57E+00,3.44E-01
1.29E+00,3.61E+00,3.24E-01
1.10E+00,3.63E+00,3.01E-01
9.46E-01,3.66E+00,2.77E-01
8.11E-01,3.69E+00,2.54E-01
6.94E-01,3.71E+00,2.33E-01
5.96E-01,3.73E+00,2.12E-01
5.11E-01,3.74E+00,1.92E-01
4.38E-01,3.76E+00,1.74E-01
3.75E-01,3.77E+00,1.57E-01
3.21E-01,3.78E+00,1.41E-01
2.75E-01,3.79E+00,1.27E-01
2.36E-01,3.80E+00,1.13E-01
2.02E-01,3.81E+00,1.01E-01
1.73E-01,3.81E+00,8.96E-02
1.49E-01,3.82E+00,8.00E-02
1.27E-01,3.82E+00,7.09E-02
1.09E-01,3.82E+00,6.25E-02
9.35E-02,3.82E+00,5.54E-02
8.01E-02,3.83E+00,4.87E-02
6.87E-02,3.83E+00,4.31E-02
5.88E-02,3.83E+00,3.80E-02
5.05E-02,3.83E+00,3.35E-02
4.33E-02,3.83E+00,2.95E-02
3.70E-02,3.83E+00,2.62E-02
3.18E-02,3.83E+00,2.30E-02
2.72E-02,3.83E+00,2.02E-02
2.33E-02,3.83E+00,1.73E-02
2.00E-02,3.83E+00,1.54E-02
