freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,1.05E+00,-1.49E-01
8.57E+04,1.05E+00,-1.24E-01
7.34E+04,1.05E+00,-1.03E-01
6.29E+04,1.05E+00,-8.45E-02
5.39E+04,1.05E+00,-6.87E-02
4.62E+04,1.05E+00,-5.38E-02
3.96E+04,1.06E+00,-4.14E-02
3.39E+04,1.06E+00,-3.17E-02
2.91E+04,1.06E+00,-2.23E-02
2.49E+04,1.06E+00,-1.44E-02
2.14E+04,1.06E+00,-7.50E-03
1.83E+04,1.07E+00,-5.88E-04
1.57E+04,1.07E+00,5.47E-03
1.34E+04,1.07E+00,1.09E-02
1.15E+04,1.08E+00,1.61E-02
9.87E+03,1.08E+00,2.02E-02
8.46E+03,1.08E+00,2.47E-02
7.25E+03,1.08E+00,2.89E-02
6.22E+03,1.09E+00,3.33E-02
5.34E+03,1.09E+00,3.52E-02
4.57E+03,1.10E+00,3.99E-02
3.91E+03,1.10E+00,4.44E-02
3.35E+03,1.11E+00,4.59E-02
2.87E+03,1.11E+00,5.15E-02
2.46E+03,1.12E+00,5.52E-02
2.11E+03,1.12E+00,6.07E-02
1.81E+03,1.13E+00,6.40E-02
1.55E+03,1.13E+00,6.92E-02
1.33E+03,1.14E+00,7.43E-02
1.14E+03,1.14E+00,7.87E-02
9.75E+02,1.15E+00,8.49E-02
8.35E+02,1.16E+00,8.98E-02
7.16E+02,1.17E+00,9.39E-02
6.14E+02,1.18E+00,1.01E-01
5.26E+02,1.19E+00,1.07E-01
4.51E+02,1.20E+00,1.13E-01
3.86E+02,1.21E+00,1.20E-01
3.31E+02,1.22E+00,1.26E-01
2.84E+02,1.23E+00,1.34E-01
2.43E+02,1.24E+00,1.41E-01
2.08E+02,1.26E+00,1.46E-01
1.78E+02,1.27E+00,1.55E-01
1.53E+02,1.29E+00,1.62E-01
1.31E+02,1.31E+00,1.70E-01
1.12E+02,1.32E+00,1.78E-01
9.63E+01,1.34E+00,1.86E-01
8.25E+01,1.36E+00,1.94E-01
7.07E+01,1.38E+00,2.01E-01
6.06E+01,1.40E+00,2.09E-01
5.19E+01,1.42E+00,2.16E-01
4.45E+01,1.45E+00,2.23E-01
3.82E+01,1.47E+00,2.29E-01
3.27E+01,1.50E+00,2.35E-01
2.80E+01,1.52E+00,2.39E-01
2.40E+01,1.55E+00,2.42E-01
2.06E+01,1.58E+00,2.45E-01
1.76E+01,1.61E+00,2.45E-01
1.51E+01,1.63E+00,2.45E-01
1.29E+01,1.66E+00,2.43E-01
1.11E+01,1.69E+00,2.40E-01
9.50E+00,1.72E+00,2.35E-01
8.16E+00,1.74E+00,2.29E-01
6.99E+00,1.77E+00,2.21E-01
5.98E+00,1.79E+00,2.14E-01
5.13E+00,1.82E+00,2.02E-01
4.40E+00,1.84E+00,1.94E-01
3.76E+00,1.86E+00,1.82E-01
3.23E+00,1.88E+00,1.71E-01
2.76E+00,1.90E+00,1.60E-01
2.37E+00,1.91E+00,1.48E-01
2.03E+00,1.92E+00,1.36E-01
1.74E+00,1.94E+00,1.26E-01
1.49E+00,1.95E+00,1.15E-01
1.28E+00,1.96E+00,1.05E-01
1.09E+00,1.97E+00,9.46E-02
9.39E-01,1.97E+00,8.56E-02
8.05E-01,1.98E+00,7.74E-02
6.89E-01,1.99E+00,6.94E-02
5.91E-01,1.99E+00,6.18E-02
5.06E-01,1.99E+00,5.52E-02
4.34E-01,2.00E+00,4.92E-02
3.72E-01,2.00E+00,4.40E-02
3.18E-01,2.00E+00,3.85E-02
2.73E-01,2.00E+00,3.42E-02
2.34E-01,2.01E+00,3.05E-02
2.01E-01,2.01E+00,2.69E-02
1.72E-01,2.01E+00,2.36E-02
1.47E-01,2.01E+00,2.09E-02
1.26E-01,2.01E+00,1.83E-02
1.08E-01,2.01E+00,1.62E-02
9.28E-02,2.01E+00,1.41E-02
7.94E-02,2.01E+00,1.26E-02
6.81E-02,2.01E+00,1.09E-02
5.84E-02,2.01E+00,9.62E-03
5.00E-02,2.01E+00,8.28E-03
