freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.0000371000E+05,3.5154860000E+00,-3.1088689500E-02
8.5705539000E+04,3.5227232000E+00,-1.7875848500E-02
7.3457906000E+04,3.5321872000E+00,-2.6434751000E-03
6.2954645000E+04,3.5410356500E+00,8.3422475000E-03
5.3954500000E+04,3.5483911000E+00,1.7674193000E-02
4.6244063000E+04,3.5546469500E+00,2.6081243500E-02
3.9637770000E+04,3.5620782500E+00,3.2028369500E-02
3.3968598000E+04,3.5677383000E+00,3.7877824000E-02
2.9115945000E+04,3.5746083500E+00,4.4750869500E-02
2.4949895000E+04,3.5796885500E+00,4.8720307500E-02
2.1386949000E+04,3.5857486500E+00,5.4786835000E-02
1.8325047000E+04,3.5936198000E+00,5.8376235000E-02
1.5708504000E+04,3.5994136500E+00,6.4158430000E-02
1.3463110000E+04,3.6067204500E+00,6.9672910000E-02
1.1542460000E+04,3.6147179500E+00,7.4156300000E-02
9.8908828000E+03,3.6206031000E+00,7.9277435000E-02
8.5386592000E+03,3.6275639500E+00,8.1967035000E-02
7.2666143000E+03,3.6362614500E+00,8.8075725000E-02
6.2269150000E+03,3.6443388500E+00,9.3866535000E-02
5.3855713000E+03,3.6550965500E+00,9.7454755000E-02
4.5706118000E+03,3.6637306000E+00,1.0434294500E-01
3.9212549000E+03,3.6724615000E+00,1.1067654000E-01
3.3610754000E+03,3.6839399500E+00,1.1800965500E-01
2.8772378000E+03,3.6928806500E+00,1.2352009000E-01
2.4689504000E+03,3.7060551500E+00,1.3095315000E-01
2.1156768000E+03,3.7158169500E+00,1.3700326000E-01
1.8129009000E+03,3.7283768500E+00,1.4775617500E-01
1.5535089000E+03,3.7423434500E+00,1.5491149000E-01
1.3321317000E+03,3.7555730500E+00,1.6396835500E-01
1.1403649000E+03,3.7699859000E+00,1.7321697000E-01
9.7780975000E+02,3.7841635000E+00,1.8310015000E-01
8.3812256000E+02,3.8010571000E+00,1.9456868000E-01
7.1839056000E+02,3.8174059500E+00,2.0600925500E-01
6.1598560000E+02,3.8355360000E+00,2.1807861500E-01
5.2746814000E+02,3.8557775000E+00,2.3205693000E-01
4.5246143000E+02,3.8751297000E+00,2.4722966500E-01
3.8764313000E+02,3.8955159000E+00,2.6194930000E-01
3.3223257000E+02,3.9205858500E+00,2.7911862500E-01
