freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,6.60E-01,-1.61E-01
8.57E+04,6.60E-01,-1.37E-01
7.34E+04,6.61E-01,-1.15E-01
6.29E+04,6.62E-01,-9.63E-02
5.39E+04,6.63E-01,-8.08E-02
4.62E+04,6.64E-01,-6.67E-02
3.96E+04,6.65E-01,-5.43E-02
3.39E+04,6.66E-01,-4.38E-02
2.91E+04,6.67E-01,-3.51E-02
2.49E+04,6.68E-01,-2.69E-02
2.14E+04,6.69E-01,-1.99E-02
1.83E+04,6.71E-01,-1.39E-02
1.57E+04,6.73E-01,-8.98E-03
1.34E+04,6.74E-01,-3.74E-03
1.15E+04,6.75E-01,7.14E-04
9.87E+03,6.78E-01,4.46E-03
8.46E+03,6.79E-01,7.60E-03
7.25E+03,6.81E-01,1.06E-02
6.22E+03,6.84E-01,1.39E-02
5.34E+03,6.86E-01,1.66E-02
4.57E+03,6.88E-01,1.93E-02
3.91E+03,6.91E-01,2.22E-02
3.35E+03,6.94E-01,2.48E-02
2.87E+03,6.96E-01,2.76E-02
2.46E+03,6.99E-01,2.91E-02
2.11E+03,7.03E-01,3.17E-02
1.81E+03,7.06E-01,3.41E-02
1.55E+03,7.09E-01,3.59E-02
1.33E+03,7.13E-01,3.88E-02
1.14E+03,7.16E-01,4.11E-02
9.75E+02,7.21E-01,4.32E-02
8.35E+02,7.25E-01,4.54E-02
7.16E+02,7.30E-01,4.82E-02
6.14E+02,7.35E-01,5.06E-02
5.26E+02,7.39E-01,5.26E-02
4.51E+02,7.45E-01,5.52E-02
3.86E+02,7.51E-01,5.84E-02
3.31E+02,7.56E-01,6.06E-02
2.84E+02,7.62E-01,6.33E-02
2.43E+02,7.69E-01,6.60E-02
2.08E+02,7.75E-01,6.85E-02
1.78E+02,7.83E-01,7.09E-02
1.53E+02,7.90E-01,7.36E-02
1.31E+02,7.99E-01,7.65E-02
1.12E+02,8.06E-01,7.82E-02
9.63E+01,8.15E-01,8.10E-02
8.25E+01,8.23E-01,8.22E-02
7.07E+01,8.32E-01,8.47E-02
6.06E+01,8.42E-01,8.54E-02
5.19E+01,8.51E-01,8.64E-02
4.45E+01,8.61E-01,8.71E-02
3.82E+01,8.72E-01,8.80E-02
3.27E+01,8.81E-01,8.68E-02
2.80E+01,8.91E-01,8.61E-02
2.40E+01,9.01E-01,8.49E-02
2.06E+01,9.11E-01,8.30E-02
1.76E+01,9.20E-01,8.13E-02
1.51E+01,9.29E-01,7.87E-02
1.29E+01,9.38E-01,7.57E-02
1.11E+01,9.46E-01,7.26E-02
9.50E+00,9.54E-01,6.90E-02
8.16E+00,9.60E-01,6.55E-02
6.99E+00,9.67E-01,6.15E-02
5.98E+00,9.73E-01,5.77E-02
5.13E+00,9.79E-01,5.41E-02
4.40E+00,9.84E-01,4.98E-02
3.76E+00,9.89E-01,4.58E-02
3.23E+00,9.93E-01,4.26E-02
2.76E+00,9.96E-01,3.89E-02
2.37E+00,9.99E-01,3.54E-02
2.03E+00,1.00E+00,3.23E-02
1.74E+00,1.00E+00,2.90E-02
1.49E+00,1.01E+00,2.65E-02
1.28E+00,1.01E+00,2.38E-02
1.09E+00,1.01E+00,2.14E-02
9.39E-01,1.01E+00,1.91E-02
8.05E-01,1.01E+00,1.71E-02
6.89E-01,1.01E+00,1.53E-02
5.91E-01,1.01E+00,1.37E-02
5.06E-01,1.02E+00,1.22E-02
4.34E-01,1.02E+00,1.07E-02
3.72E-01,1.02E+00,9.42E-03
3.18E-01,1.02E+00,8.49E-03
2.73E-01,1.02E+00,7.56E-03
2.34E-01,1.02E+00,6.70E-03
2.01E-01,1.02E+00,6.02E-03
1.72E-01,1.02E+00,5.06E-03
1.47E-01,1.02E+00,4.45E-03
1.26E-01,1.02E+00,4.04E-03
1.08E-01,1.02E+00,3.57E-03
9.28E-02,1.02E+00,3.07E-03
7.94E-02,1.02E+00,2.68E-03
6.81E-02,1.02E+00,2.48E-03
5.84E-02,1.02E+00,2.18E-03
5.00E-02,1.02E+00,1.94E-03
