freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,3.53E+00,-2.72E-02
8.57E+04,3.54E+00,-8.95E-03
7.35E+04,3.55E+00,5.46E-03
6.30E+04,3.56E+00,1.74E-02
5.40E+04,3.57E+00,2.52E-02
4.62E+04,3.57E+00,3.26E-02
3.96E+04,3.58E+00,4.08E-02
3.40E+04,3.59E+00,4.74E-02
2.91E+04,3.60E+00,5.28E-02
2.49E+04,3.60E+00,5.94E-02
2.14E+04,3.61E+00,6.44E-02
1.83E+04,3.62E+00,6.96E-02
1.57E+04,3.62E+00,7.38E-02
1.35E+04,3.63E+00,7.88E-02
1.15E+04,3.64E+00,8.32E-02
9.89E+03,3.65E+00,8.94E-02
8.54E+03,3.66E+00,9.38E-02
7.27E+03,3.67E+00,9.82E-02
6.23E+03,3.68E+00,1.05E-01
5.39E+03,3.68E+00,1.12E-01
4.57E+03,3.70E+00,1.18E-01
3.92E+03,3.71E+00,1.24E-01
3.36E+03,3.72E+00,1.32E-01
2.88E+03,3.73E+00,1.39E-01
2.47E+03,3.74E+00,1.46E-01
2.12E+03,3.75E+00,1.53E-01
1.81E+03,3.77E+00,1.63E-01
1.55E+03,3.78E+00,1.72E-01
1.33E+03,3.80E+00,1.82E-01
1.14E+03,3.81E+00,1.93E-01
9.78E+02,3.83E+00,2.05E-01
8.38E+02,3.85E+00,2.16E-01
7.18E+02,3.86E+00,2.31E-01
6.16E+02,3.88E+00,2.45E-01
5.27E+02,3.90E+00,2.63E-01
4.52E+02,3.92E+00,2.78E-01
3.88E+02,3.95E+00,3.00E-01
3.32E+02,3.97E+00,3.22E-01
2.85E+02,4.00E+00,3.44E-01
2.44E+02,4.02E+00,3.69E-01
2.09E+02,4.05E+00,3.99E-01
1.79E+02,4.09E+00,4.30E-01
1.54E+02,4.12E+00,4.61E-01
1.32E+02,4.16E+00,4.96E-01
1.13E+02,4.21E+00,5.33E-01
9.68E+01,4.25E+00,5.75E-01
8.29E+01,4.30E+00,6.16E-01
7.10E+01,4.36E+00,6.61E-01
6.09E+01,4.42E+00,7.08E-01
5.22E+01,4.48E+00,7.57E-01
4.47E+01,4.56E+00,8.05E-01
3.83E+01,4.63E+00,8.58E-01
3.29E+01,4.72E+00,9.13E-01
2.82E+01,4.80E+00,9.69E-01
2.41E+01,4.90E+00,1.02E+00
2.07E+01,5.00E+00,1.08E+00
1.77E+01,5.11E+00,1.14E+00
1.52E+01,5.23E+00,1.20E+00
1.30E+01,5.35E+00,1.25E+00
1.12E+01,5.48E+00,1.31E+00
9.56E+00,5.62E+00,1.37E+00
8.19E+00,5.77E+00,1.42E+00
7.03E+00,5.93E+00,1.46E+00
6.02E+00,6.10E+00,1.53E+00
5.16E+00,6.25E+00,1.56E+00
4.42E+00,6.44E+00,1.61E+00
3.79E+00,6.60E+00,1.64E+00
3.25E+00,6.79E+00,1.66E+00
2.78E+00,6.99E+00,1.69E+00
2.38E+00,7.17E+00,1.70E+00
2.04E+00,7.36E+00,1.69E+00
1.75E+00,7.57E+00,1.70E+00
1.50E+00,7.76E+00,1.69E+00
1.29E+00,7.94E+00,1.66E+00
1.10E+00,8.14E+00,1.62E+00
9.46E-01,8.33E+00,1.58E+00
8.11E-01,8.50E+00,1.54E+00
6.94E-01,8.67E+00,1.49E+00
5.96E-01,8.83E+00,1.41E+00
5.11E-01,8.99E+00,1.34E+00
4.38E-01,9.13E+00,1.27E+00
3.75E-01,9.25E+00,1.20E+00
3.21E-01,9.37E+00,1.11E+00
2.75E-01,9.48E+00,1.03E+00
2.36E-01,9.58E+00,9.48E-01
2.02E-01,9.66E+00,8.70E-01
1.73E-01,9.73E+00,7.91E-01
1.49E-01,9.79E+00,7.15E-01
1.27E-01,9.85E+00,6.44E-01
1.09E-01,9.89E+00,5.77E-01
9.35E-02,9.93E+00,5.15E-01
8.01E-02,9.96E+00,4.58E-01
6.87E-02,9.98E+00,4.05E-01
5.88E-02,1.00E+01,3.56E-01
5.05E-02,1.00E+01,3.13E-01
4.33E-02,1.00E+01,2.75E-01
3.70E-02,1.00E+01,2.41E-01
3.18E-02,1.00E+01,2.11E-01
2.72E-02,1.00E+01,1.83E-01
2.33E-02,1.00E+01,1.59E-01
2.00E-02,1.00E+01,1.38E-01
