freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,6.63E-01,-1.60E-01
8.57E+04,6.63E-01,-1.36E-01
7.34E+04,6.64E-01,-1.14E-01
6.29E+04,6.65E-01,-9.55E-02
5.39E+04,6.66E-01,-7.92E-02
4.62E+04,6.67E-01,-6.54E-02
3.96E+04,6.68E-01,-5.34E-02
3.39E+04,6.69E-01,-4.29E-02
2.91E+04,6.70E-01,-3.39E-02
2.49E+04,6.72E-01,-2.56E-02
2.14E+04,6.73E-01,-1.83E-02
1.83E+04,6.75E-01,-1.27E-02
1.57E+04,6.76E-01,-7.12E-03
1.34E+04,6.78E-01,-2.52E-03
1.15E+04,6.80E-01,2.10E-03
9.87E+03,6.82E-01,6.21E-03
8.46E+03,6.84E-01,1.00E-02
7.25E+03,6.86E-01,1.28E-02
6.22E+03,6.88E-01,1.62E-02
5.34E+03,6.91E-01,1.94E-02
4.57E+03,6.93E-01,2.25E-02
3.91E+03,6.96E-01,2.52E-02
3.35E+03,6.98E-01,2.79E-02
2.87E+03,7.02E-01,3.02E-02
2.46E+03,7.05E-01,3.38E-02
2.11E+03,7.08E-01,3.63E-02
1.81E+03,7.12E-01,3.90E-02
1.55E+03,7.16E-01,4.18E-02
1.33E+03,7.20E-01,4.52E-02
1.14E+03,7.24E-01,4.80E-02
9.75E+02,7.29E-01,5.15E-02
8.35E+02,7.34E-01,5.43E-02
7.16E+02,7.39E-01,5.75E-02
6.14E+02,7.44E-01,6.04E-02
5.26E+02,7.50E-01,6.38E-02
4.51E+02,7.57E-01,6.79E-02
3.86E+02,7.63E-01,7.16E-02
3.31E+02,7.70E-01,7.51E-02
2.84E+02,7.78E-01,7.91E-02
2.43E+02,7.85E-01,8.27E-02
2.08E+02,7.94E-01,8.73E-02
1.78E+02,8.02E-01,9.07E-02
1.53E+02,8.11E-01,9.52E-02
1.31E+02,8.21E-01,9.90E-02
1.12E+02,8.31E-01,1.03E-01
9.63E+01,8.43E-01,1.07E-01
8.25E+01,8.54E-01,1.10E-01
7.07E+01,8.66E-01,1.13E-01
6.06E+01,8.78E-01,1.17E-01
5.19E+01,8.92E-01,1.20E-01
4.45E+01,9.05E-01,1.22E-01
3.82E+01,9.19E-01,1.23E-01
3.27E+01,9.34E-01,1.24E-01
2.80E+01,9.48E-01,1.24E-01
2.40E+01,9.62E-01,1.24E-01
2.06E+01,9.76E-01,1.23E-01
1.76E+01,9.91E-01,1.21E-01
1.51E+01,1.00E+00,1.18E-01
1.29E+01,1.02E+00,1.15E-01
1.11E+01,1.03E+00,1.11E-01
9.50E+00,1.04E+00,1.07E-01
8.16E+00,1.05E+00,1.01E-01
6.99E+00,1.06E+00,9.67E-02
5.98E+00,1.08E+00,9.10E-02
5.13E+00,1.08E+00,8.47E-02
4.40E+00,1.09E+00,7.88E-02
3.76E+00,1.10E+00,7.33E-02
3.23E+00,1.11E+00,6.74E-02
2.76E+00,1.11E+00,6.16E-02
2.37E+00,1.12E+00,5.68E-02
2.03E+00,1.12E+00,5.13E-02
1.74E+00,1.13E+00,4.65E-02
1.49E+00,1.13E+00,4.22E-02
1.28E+00,1.13E+00,3.79E-02
1.09E+00,1.13E+00,3.41E-02
9.39E-01,1.14E+00,3.04E-02
8.05E-01,1.14E+00,2.70E-02
6.89E-01,1.14E+00,2.42E-02
5.91E-01,1.14E+00,2.16E-02
5.06E-01,1.14E+00,1.92E-02
4.34E-01,1.14E+00,1.69E-02
3.72E-01,1.14E+00,1.50E-02
3.18E-01,1.15E+00,1.33E-02
2.73E-01,1.15E+00,1.16E-02
2.34E-01,1.15E+00,1.03E-02
2.01E-01,1.15E+00,9.22E-03
1.72E-01,1.15E+00,8.00E-03
1.47E-01,1.15E+00,7.13E-03
1.26E-01,1.15E+00,6.38E-03
1.08E-01,1.15E+00,5.45E-03
9.28E-02,1.15E+00,4.71E-03
7.94E-02,1.15E+00,4.27E-03
6.81E-02,1.15E+00,3.79E-03
5.84E-02,1.15E+00,3.16E-03
5.00E-02,1.15E+00,2.94E-03
