freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,4.55E-01,-1.67E-01
8.57E+04,4.56E-01,-1.41E-01
7.34E+04,4.55E-01,-1.20E-01
6.29E+04,4.55E-01,-1.02E-01
5.39E+04,4.56E-01,-8.59E-02
4.62E+04,4.56E-01,-7.23E-02
3.96E+04,4.57E-01,-6.04E-02
3.39E+04,4.57E-01,-5.00E-02
2.91E+04,4.58E-01,-4.13E-02
2.49E+04,4.58E-01,-3.39E-02
2.14E+04,4.60E-01,-2.69E-02
1.83E+04,4.60E-01,-2.13E-02
1.57E+04,4.61E-01,-1.62E-02
1.34E+04,4.62E-01,-1.19E-02
1.15E+04,4.63E-01,-7.90E-03
9.87E+03,4.64E-01,-4.40E-03
8.46E+03,4.65E-01,-1.56E-03
7.25E+03,4.67E-01,1.38E-03
6.22E+03,4.68E-01,3.66E-03
5.34E+03,4.69E-01,5.88E-03
4.57E+03,4.71E-01,8.22E-03
3.91E+03,4.72E-01,1.01E-02
3.35E+03,4.74E-01,1.22E-02
2.87E+03,4.75E-01,1.39E-02
2.46E+03,4.77E-01,1.53E-02
2.11E+03,4.79E-01,1.67E-02
1.81E+03,4.81E-01,1.83E-02
1.55E+03,4.83E-01,1.96E-02
1.33E+03,4.85E-01,2.11E-02
1.14E+03,4.87E-01,2.30E-02
9.75E+02,4.90E-01,2.42E-02
8.35E+02,4.92E-01,2.56E-02
7.16E+02,4.95E-01,2.68E-02
6.14E+02,4.98E-01,2.82E-02
5.26E+02,5.01E-01,2.96E-02
4.51E+02,5.04E-01,3.11E-02
3.86E+02,5.07E-01,3.25E-02
3.31E+02,5.10E-01,3.38E-02
2.84E+02,5.14E-01,3.52E-02
2.43E+02,5.18E-01,3.66E-02
2.08E+02,5.22E-01,3.76E-02
1.78E+02,5.26E-01,3.90E-02
1.53E+02,5.30E-01,3.98E-02
1.31E+02,5.34E-01,4.11E-02
1.12E+02,5.39E-01,4.16E-02
9.63E+01,5.44E-01,4.25E-02
8.25E+01,5.48E-01,4.27E-02
7.07E+01,5.53E-01,4.29E-02
6.06E+01,5.58E-01,4.31E-02
5.19E+01,5.63E-01,4.32E-02
4.45E+01,5.68E-01,4.26E-02
3.82E+01,5.72E-01,4.16E-02
3.27E+01,5.77E-01,4.08E-02
2.80E+01,5.82E-01,4.00E-02
2.40E+01,5.87E-01,3.88E-02
2.06E+01,5.90E-01,3.72E-02
1.76E+01,5.94E-01,3.58E-02
1.51E+01,5.98E-01,3.43E-02
1.29E+01,6.01E-01,3.26E-02
1.11E+01,6.05E-01,3.10E-02
9.50E+00,6.08E-01,2.88E-02
8.16E+00,6.11E-01,2.70E-02
6.99E+00,6.13E-01,2.52E-02
5.98E+00,6.16E-01,2.32E-02
5.13E+00,6.18E-01,2.17E-02
4.40E+00,6.20E-01,2.00E-02
3.76E+00,6.21E-01,1.80E-02
3.23E+00,6.23E-01,1.64E-02
2.76E+00,6.24E-01,1.51E-02
2.37E+00,6.25E-01,1.37E-02
2.03E+00,6.26E-01,1.25E-02
1.74E+00,6.27E-01,1.13E-02
1.49E+00,6.28E-01,1.00E-02
1.28E+00,6.28E-01,9.10E-03
1.09E+00,6.29E-01,8.13E-03
9.39E-01,6.30E-01,7.28E-03
8.05E-01,6.30E-01,6.52E-03
6.89E-01,6.31E-01,5.86E-03
5.91E-01,6.31E-01,5.23E-03
5.06E-01,6.31E-01,4.59E-03
4.34E-01,6.31E-01,4.14E-03
3.72E-01,6.32E-01,3.68E-03
3.18E-01,6.32E-01,3.27E-03
2.73E-01,6.32E-01,2.91E-03
2.34E-01,6.32E-01,2.55E-03
2.01E-01,6.32E-01,2.28E-03
1.72E-01,6.32E-01,1.93E-03
1.47E-01,6.32E-01,1.77E-03
1.26E-01,6.32E-01,1.57E-03
1.08E-01,6.32E-01,1.34E-03
9.28E-02,6.32E-01,1.22E-03
7.94E-02,6.32E-01,1.12E-03
6.81E-02,6.32E-01,8.48E-04
5.84E-02,6.32E-01,7.91E-04
5.00E-02,6.32E-01,7.04E-04
