freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,1.81E+00,-1.36E-01
8.57E+04,1.81E+00,-1.11E-01
7.35E+04,1.82E+00,-8.97E-02
6.30E+04,1.82E+00,-7.07E-02
5.40E+04,1.82E+00,-5.48E-02
4.62E+04,1.82E+00,-4.00E-02
3.96E+04,1.83E+00,-2.80E-02
3.40E+04,1.83E+00,-1.71E-02
2.91E+04,1.83E+00,-7.13E-03
2.49E+04,1.84E+00,1.67E-03
2.14E+04,1.84E+00,9.52E-03
1.83E+04,1.84E+00,1.54E-02
1.57E+04,1.85E+00,2.32E-02
1.35E+04,1.85E+00,2.84E-02
1.15E+04,1.86E+00,3.47E-02
9.89E+03,1.86E+00,4.02E-02
8.54E+03,1.86E+00,4.56E-02
7.27E+03,1.87E+00,5.10E-02
6.23E+03,1.88E+00,5.48E-02
5.39E+03,1.88E+00,6.10E-02
4.57E+03,1.89E+00,6.55E-02
3.92E+03,1.89E+00,7.06E-02
3.36E+03,1.90E+00,7.62E-02
2.88E+03,1.91E+00,8.15E-02
2.47E+03,1.92E+00,8.72E-02
2.12E+03,1.92E+00,9.41E-02
1.81E+03,1.93E+00,9.97E-02
1.55E+03,1.94E+00,1.08E-01
1.33E+03,1.95E+00,1.14E-01
1.14E+03,1.96E+00,1.23E-01
9.78E+02,1.97E+00,1.31E-01
8.38E+02,1.98E+00,1.41E-01
7.18E+02,1.99E+00,1.51E-01
6.16E+02,2.01E+00,1.62E-01
5.27E+02,2.02E+00,1.73E-01
4.52E+02,2.03E+00,1.86E-01
3.88E+02,2.05E+00,1.99E-01
3.32E+02,2.07E+00,2.14E-01
2.85E+02,2.08E+00,2.28E-01
2.44E+02,2.11E+00,2.45E-01
2.09E+02,2.13E+00,2.62E-01
1.79E+02,2.15E+00,2.80E-01
1.54E+02,2.18E+00,2.98E-01
1.32E+02,2.21E+00,3.17E-01
1.13E+02,2.24E+00,3.36E-01
9.68E+01,2.27E+00,3.57E-01
8.29E+01,2.30E+00,3.78E-01
7.10E+01,2.34E+00,4.01E-01
6.09E+01,2.38E+00,4.23E-01
5.22E+01,2.42E+00,4.46E-01
4.47E+01,2.47E+00,4.68E-01
3.83E+01,2.51E+00,4.91E-01
3.29E+01,2.57E+00,5.14E-01
2.82E+01,2.62E+00,5.35E-01
2.41E+01,2.68E+00,5.56E-01
2.07E+01,2.74E+00,5.76E-01
1.77E+01,2.80E+00,5.94E-01
1.52E+01,2.87E+00,6.11E-01
1.30E+01,2.94E+00,6.26E-01
1.12E+01,3.01E+00,6.36E-01
9.56E+00,3.08E+00,6.48E-01
8.19E+00,3.15E+00,6.51E-01
7.03E+00,3.23E+00,6.47E-01
6.02E+00,3.31E+00,6.54E-01
5.16E+00,3.38E+00,6.39E-01
4.42E+00,3.46E+00,6.36E-01
3.79E+00,3.52E+00,6.22E-01
3.25E+00,3.60E+00,6.10E-01
2.78E+00,3.66E+00,5.90E-01
2.38E+00,3.73E+00,5.64E-01
2.04E+00,3.80E+00,5.44E-01
1.75E+00,3.85E+00,5.19E-01
1.50E+00,3.90E+00,4.89E-01
1.29E+00,3.96E+00,4.59E-01
1.10E+00,4.00E+00,4.31E-01
9.46E-01,4.04E+00,4.01E-01
8.11E-01,4.08E+00,3.70E-01
6.94E-01,4.12E+00,3.40E-01
5.96E-01,4.15E+00,3.11E-01
5.11E-01,4.17E+00,2.84E-01
4.38E-01,4.19E+00,2.57E-01
3.75E-01,4.21E+00,2.31E-01
3.21E-01,4.23E+00,2.08E-01
2.75E-01,4.24E+00,1.87E-01
2.36E-01,4.26E+00,1.68E-01
2.02E-01,4.27E+00,1.49E-01
1.73E-01,4.28E+00,1.32E-01
1.49E-01,4.28E+00,1.18E-01
1.27E-01,4.29E+00,1.04E-01
1.09E-01,4.30E+00,9.19E-02
9.35E-02,4.30E+00,8.09E-02
8.01E-02,4.30E+00,7.16E-02
6.87E-02,4.31E+00,6.26E-02
5.88E-02,4.31E+00,5.46E-02
5.05E-02,4.31E+00,4.87E-02
4.33E-02,4.31E+00,4.26E-02
3.70E-02,4.32E+00,3.70E-02
3.18E-02,4.32E+00,3.27E-02
2.72E-02,4.32E+00,2.87E-02
2.33E-02,4.32E+00,2.49E-02
2.00E-02,4.32E+00,2.18E-02
